Title,Location,Company,Salary,Description
Data Science Specialist USA,"New York, NY",Mphasis,None,"Note: This position is accepting applicants for- New York and Texas.
Skills :
Excellent knowledge of NLP and ML alogrithms.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{depending on specific project requirements}}. Excellence in at least one of these is highly desirable
Great communication skills
Experience with data visualization tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig {{actual list depends on what you are currently using in your company}}
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase {{depending on project needs}}
Good applied statistics skills, such as distributions, statistical testing, regression, etc.

Qualification:
TECH (Computer Science Engineering/ IT)/ MCA
What’s in for you?
At Mphasis, we promise you the perfect opportunity of building technical excellence, understand business performance and nuances, be abreast with the latest happenings in technology world and enjoy a satisfying work life balance.
With the current opportunity, you will get to work with the team that has consistently been setting benchmarks for other deliveries in terms of delivery high CSATs, project completion on time and being one of the best teams to work for in the organization.
You get an open and transparent culture along with freedom to experimentation and innovation"
Data Scientist/Data Science Instructor,"New York, NY 10001 (Garment District area)",NYC Data Science Academy,None,"About Us
Just as the field of Data Science is growing and ever-changing, so is our team: we’re on the hunt for talented instructors who are passionate about what they do and want to make a difference in the education of the world’s up-and-coming data scientists — our students.
The NYC Data Science Academy prides itself on housing the most comprehensive 12-week intensive boot camp in data science methodologies, providing theoretical, practical, and hands-on knowledge to our scholars. We nurture top talents in the industrial & academic world into industry-ready data scientists, by equipping them with knowledge, technical skills, and insights aiming at maximal impacts to the business world. We adapt faster than the quickest machine learning algorithms out there — with content that reflects research and application in the growing industry and teaching expertise which goes beyond extraordinary.
That’s where you come in.
From our part-time weekend/evening classes to our part-time online and full-time in-person boot camps, our courses are both designed in-house and taught by our robust team of data scientists and engineers. Instructors have the opportunity of taking part in corporate training and consulting client projects, building both data science and big data solutions. We encourage collaboration and positive change in not only our students and clients but also in our team. Nerding out is also highly encouraged.
Responsibilities
Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R/python coding, data analysis, machine learning, deep learning, and big data, etc.
Develop, evaluate, and maintain cutting-edge technical content for training experiences relevant to audiences with a diverse set of educational backgrounds and industry experience.
Tailoring teaching content for both corporate and client training.
Guide and mentor our students inside and outside of the classroom for their industry-ready projects. Help to orient our students’ learning toward the target industries.
Lead by example as a data scientist, to be an excellent role model for our industry-ready students.
Cooperate with marketing/admission teams by participating in the student enrollment/admission procedure and by developing relevant content for them.
Participate in periodic training workshops to sharpen the relevant skill-sets.
About You
Minimum of a Master’s Degree in a Quantitative Science, Technology, Engineering, or Mathematics-related field; Computer Science and Statistics preferred.
Proficiency in statistical computing/machine learning and/or programming in R and/or Python.
Experience/extensive knowledge in R or Python data analysis.
Teaching experience in undergraduate or graduate level coursework in STEM required.
Demonstrated experience/knowledge of Statistics and Machine Learning from both theoretical and applied perspectives.
Experience in developing a curriculum or providing training in a client-facing endeavor.
A good sense of the relevance of academic data science to industrial applications.
Forward thinking with a strong growth mentality, i.e. constantly strengthening yourself on all fronts relevant to the growth of our school.
Passionate about teaching and helping your students succeed in their careers.
A team player who can multitask if necessary and can step up to new challenges in a growing company.
Perks
Competitive salary, adjustable hours, and flexible vacation policy.
Benefits include 401k retirement plan and medical, dental, vision insurances.
Opportunity to train, research, and learn in the field of data science on-the-job; a chance to interact with active data science communities through conferences, Meetup events, etc.
Completely stocked snack pantry.
High-quality computational equipment."
Head of Data Science,"New York, NY",Parallel Consulting Inc,"$180,000 - $220,000 a year","Background:
A Major Financial services client is looking for a Head of Data Science to report directly to the Managing Director. The role will be to build a team from day one but staying hands on in terms of Data Science delivery across this area of the business. You will have full ownership of Data Science projects for this prestigious FS Firm.
Who will you be working for?
This company is a global financial services firm that is recognised across the world. Through several different platforms in analytics, this team looks at creating as much profitability as possible for this service line with advanced modelling techniques.
What skills do you need for the role?
· 7+ years of experience within Data Science projects in any domain.
· Strong advanced modeling skills and the ability to work with large datasets.
· Needs expertise in R, Python, Spark, Hadoop and visualisation experience using Shiny, Tableau.
· Proven experience in either Machine Learning or NLP projects
· A very good understanding of statistical concepts, regression-based forecasting models and time series analysis.
· Proven experience of mentoring more junior professionals and building teams.
· The ability to derive insights from data and communicate them effectively to key stakeholders and decision makers.
· Strong education from a reputable school
What skills would be nice to have?
· Financial services experience
· Experience from a consulting firm of leading FS company.
· PhD in a computer science or numerical subject.
How much is the position paying?
Competitive bonus and package
NYC123
This position is a challenging and varied role at a very exciting company. If this position sounds of interest then please contact John Bevan on 646 491 6935
Job Type: Full-time
Pay: $180,000.00 - $220,000.00 per year
Experience:
data scientist: 7 years (Preferred)"
Associate Research Scientist - Machine Learning,"Basking Ridge, NJ 07920",Perspecta Labs,None,"Business Group Highlights
Perspecta Labs
Perspecta Labs generates transformative applied research to fuel solutions for our customers’ unique challenges. We are a self-sustaining research center within Perspecta that provides applied research and engineering to enable government agencies, utilities and commercial enterprises to fully exploit the future of communications, analytics and cyber security.
Responsibilities
High-Level Responsibilities:
Research Scientist is expected to perform R&D work under the guidance of senior researchers on well-defined R&D tasks, and collaborate with peers to address research challenges. At a high level, the expected R&D work will be in the broad areas of machine learning, with applications to various domains including machine vision, autonomy, cyber security, and data analytics.

Key Responsibilities:
Perform R&D tasks, including the design of machine learning algorithms, design and implementation of software components/systems, as well as testing and evaluation of software components/systems;
Explore approaches to R&D challenges and develop novel ideas that could sufficiently address such challenges;
Develop software prototypes and cooperate with peers to conduct integration testing;
Assist the preparation of papers and technical reports to publish research results in public forums
Assist in the preparation and present ion of R&D results to the project manager and customers
Qualifications
Requires 5 to 8 years with BS/BA or 3 to 5 years with MS/MA or 0 to 2 years with PhD.
B.S. degree in Computer Science, Computer Engineering or related disciplines;
Knowledge of and hands-on experience in machine learning research and applications;
Excellent software development skills, including design, version management, and testing;
Well-versed in multiple programming languages, such as Python, C/C++, Java;
Good oral and written communication skills;
U.S. citizen.
About Perspecta
What matters to our nation, is what matters to us. At Perspecta, everything we do, from conducting innovative research to cultivating strong relationships, supports one imperative: ensuring that your work succeeds. Our company was formed to bring a broad array of capabilities to all parts of the public sector—from investigative services and IT strategy to systems work and next-generation engineering.

Our promise is simple: never stop solving our nation’s most complex challenges. And with a workforce of approximately 14,000, more than 48 percent of which is cleared, we have been trusted to just that, as a partner of choice across the entire sector.

Perspecta is anAA/EEO Employer - Minorities/Women/Veterans/Disabled and other protected categories.
Options
Apply for this job onlineApply
Share
Email this job to a friendRefer
Sorry the Share function is not working properly at this moment. Please refresh the page and try again later.
Share on your newsfeed




As a government contractor, Perspecta abides by the following provision
PAY TRANSPARENCY NONDISCRIMINATION PROVISION
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)"
Data Engineer eCommerce Analytics,"Piscataway, NJ 08854",Colgate-Palmolive,None,"No Relocation Assistance Offered
# 83932 - Piscataway, New Jersey, United States

We are excited to invite applications for the position of Data Engineer within our eCommerce applications team. Operating within the world’s leading Oral Care Company, we have a number of exciting projects in B2B, B2C and Marketplace applications. We are looking for a highly motivated data engineer to join our team to help us win in eCommerce.

This role will involve planning, design, development and maintenance of our data repositories, pipeline, and analytical solutions. The ideal candidate is self driven and looking to build high quality tools to provide actionable insights to our business partners to facilitate data-driven decision making. The candidate needs to be a self-starter - eager to learn new technologies, extract insights and value from data and how to leverage technology to deliver those insights while protecting user data through compliance with privacy standards & regulations and implementation of appropriate security safeguards.

Main Responsibilities:
Build and maintain optimal data pipeline architecture
Assemble large, sophisticated data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for efficient extraction, transformation, and loading of data from a wide variety of data sources
Assist with data-related technical issues and support their data infrastructure needs.
Build data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Work with data and analytics specialists to strive for greater functionality in our data systems.

Basic Qualifications:

Bachelor’s degree or higher degree in Computer Science, Statistics, Informatics, Information Systems or related work experience.
1+ year of experience in a Data Engineer or Data Analyst role
SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and find opportunities for improvement.
Strong analytic skills related to working with unstructured datasets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Experience supporting and working with multi-functional teams in a dynamic environment.


They should also have experience using the following software/tools:

Experience with relational SQL and NoSQL databases: MongoDB, Neo4j, etc
Experience with cloud services: GCP, AWS, etc
Experience with object-oriented/object function scripting languages: Python, Java, etc.
Experience with big data tools: Hadoop, Spark, Kafka, etc.
Experience with Data Flow, Data Pipeline and workflow management tools: Cloud Composer, Airflow, Luigi, etc.
Experience with visualization tools: Google Data Studio, Tableau, Qlikview, etc
Equal Opportunity Employer
Colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (United States positions), or any other characteristic protected by law.
Are you interested in working for Colgate-Palmolive? You can apply online and attach all relevant documents such as a cover letter and resume or CV. Applications received by e-mail are not considered in the selection process. Become part of our team. We look forward to your application.
Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as Colgate, Palmolive, elmex, Tom’s of Maine, Sorriso, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet.
For more information about Colgate’s global business, visit the Company’s web site at http://www.colgatepalmolive.com. To learn more about Colgate Bright Smiles, Bright Futures® oral health education program, please visit http://www.colgatebsbf.com. To learn more about Hill's and the Hill’s Food, Shelter & Love program please visit http://www.hillspet.com. To learn more about Tom’s of Maine please visit http://www.tomsofmaine.com.
Reasonable accommodation during the application process is available for persons with disabilities. Please contact Application_Accommodation@colpal.com with the subject ""Accommodation Request"" should you require accommodation."
Data Scientist,"New York, NY 10001 (Chelsea area)",Glean,"$100,000 - $140,000 a year","Data Science @ Glean
New York City / Remote OK
ABOUT GLEAN (currently in stealth mode)
Glean is injecting intelligence into expense management. Founded by fintech veteran and seasoned CFO Howard Katzenberg, Glean is an AI-powered spend intelligence solution that saves SMBs money by analyzing expense drivers and finding line-item level insights overlooked by most accounts payable solutions, which are focused on speeding up payment cycles rather than optimizing vendor spend.
Over time, our mission is to become the all-in-one spend management solution for SMBs that uses AI to: analyze spend, manage approval and payment workflows, identify anomalous spend & savings opportunities, benchmark spend performance vs. peers, find & negotiate savings with vendors, and forecast future expense trends.
Glean will be every finance team’s best friend!
Join us!
ABOUT THIS ROLE
We are building the next billion-dollar business in enterprise SAAS. We have an amazing founding team, with experts in product, engineering, data science, and machine learning, and we just launched our MVP. We are now searching for a data scientist that will own the core data science work, build NLP applications, and generate insights.
After we ingest PDFs from clients, we perform OCR, extract the text using text classification models, validate the extraction with a human in the loop, and then map all the data into our canonical taxonomy.
Once the data is mapped to our taxonomy, we have a clean digital invoice-based data asset. We generate insights using this data asset, surfacing line-item level insights to our clients via our web app.
Your role will be critical to generating this intelligence for our clients.
Here are some of the major items you will own at Glean:
Data science code to clean and prepare the data extracted from invoices, including handling nulls, addressing exceptions, imputing data (when possible), and enriching data using third-party APIs
Data science code to validate the goodness of extractions performed by the ML models + human in the loop
Collaborate with vendors to perform OCR and text classification
Develop NLP models to map the extracted data to our canonical taxonomy of vendors and line items (e.g., using word embeddings, etc.) at scale
Once the data has been mapped to the canonical taxonomy, perform feature engineering, generate insights, detect anomalies, and surface the intelligence in a digestible format to the end user
You will work closely with the data engineers to productionize the data science and machine learning code that is developed, and you will work closely with the engineering team to make sure the data science and machine learning pipelines are performant in production.
You’ll be accountable for Glean’s:
Data science vision – ownership over and definition of the data science pipeline, working closely with the executive team, and acting as a thought leader across the company
Technical execution – define, articulate, and execute the data science strategy from launch to scale, managing the day-to-day execution, and implementing best practices
Fast prototyping culture – Develop data science and machine learning applications fast, prototyping quickly to solve thorny business problems without getting bogged down in theory (ship early and often)
Getting your hands dirty - we’re a small team and we have a lot of work ahead of us. You should be excited to roll up your sleeves and help the team in any way you can
Build, build, build – jumping in and writing data science code, from architecture to fixing bugs, delivering NLP and insights within the three months of hire. We'll rely on you and your team to handle day-to-day execution including:
Cleaning the extracted data, validating the accuracy of the extraction, and addressing issues as they occur
Shipping NLP applications to perform mapping of extracted data at scale
Developing and deploying models using PyTorch or TensorFlow
Writing code using PySpark
Performing feature engineering on the cleansed and mapped data
Generating insights and narratives
Performing anomaly detection to surface what the client needs to know fast
Wrangling, standardizing, enhancing, implementing, and monitoring data repositories
Creating workflows to ingest, enrich, and make data available across the Glean platform
PERFECT FIT
You’ll be a perfect fit for the Glean Team if…
You want to join an early-stage startup or you are extremely anxious to be challenged at your first startup
You like the tension between craft and shipping. You have strong ability to quickly and effectively evaluate technical tradeoffs and translate them into short/long term business decisions
You’ve built highly scalable data pipelines and have deep expertise in setting technical vision, architecting, building, and maintaining performant systems, from launch to scale
You are passionate about building / leading data science teams and rapidly developing data pipelines at various stages of growth
You pride yourself in communicating complex concepts, including the ability to distill intricate workflows and systems into clear processes and decisions with measurable company-wide impact
You ask “why” a lot and use critical thinking and data to back up your intuitions. You hate when a customer struggles through your product experience
You have managed a budget before and have seen first-hand the challenges in managing vendor spend
Job Type: Full-time
Pay: $100,000.00 - $140,000.00 per year
Benefits:
401(k)
Dental Insurance
Flexible Spending Account
Health Insurance
Vision Insurance
Schedule:
Monday to Friday
Experience:
Data Science: 3 years (Preferred)
Machine Learning: 3 years (Preferred)
Python: 3 years (Preferred)
NLP: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Additional Compensation:
Other forms
Work Location:
Fully Remote
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Yes"
Big Data Engineer,"Parsippany, NJ",Brevco Services,$30 - $35 an hour,"Job Title: Big Data Engineer
Location: Parsippany NJ (Onsite, Remote until COVID19)
Duration: 6 to 12+ Months (Open Ended Contract with Possible Extension)
W2 Only
Job Description:
We need profiles with below skill sets. (All skills required)
ETL
DataStage
BigData
BigQuery
SQL
R
Python
Partykit
Job Types: Full-time, Contract
Salary: $30.00 to $35.00 /hour
Work Remotely:
Temporarily due to COVID-19"
Data Scientist,"New York, NY",Source Enterprises,None,"Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making.
Job Description
A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products.
You will collaborate with cross-functional teams to define, design, implement, data mining capabilities and effectively provide the results, in a fast paced environment, necessary to meet our business needs. This position may include working remotely and provides flexible hours to accommodate productive work-flow.
Responsibilities:
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Creating automated anomaly detection systems and constant tracking of its performance
Stay current on modern trends and advances in data mining technology
Work closely with our experts and other team members to efficiently prototype/develop features and functions for our various products
Perform other duties as assigned
Qualifications:
Internship candidates should have high interest in learning top of the line data mining platforms, programming, tools, testing, and analyzing business needs:
Understanding of machine learning techniques and algorithms, such as: k-NN, Naive Bayes, SVM, Decision Forests, etc.
Some knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etc
Data visualization tools, such as D3.js, GGplot, etc.
NoSQL databases, such as MongoDB, Cassandra, HBase, etc.
Statistics skills, such as distributions, statistical testing, regression, etc.
Data-oriented personality
Excellent writing & organizational skills
Independent work ethic
Detail oriented
Strong drive to succeed
Entrepreneurial mindset
Proactive
Good communicator
Team player
Autonomous
Passion for coding, solving problems and working in a team environment
Use a provided online productivity platform to organize and keep track of your completed
tasks.
Makes suggestions for processes, coding, implementation, and/or performance improvements.
Please send a resume for consideration.
Part time and Full time positions available.
Flexible at home positions available."
"Data Science Online Course Instructor (Part-Time, Contract)","New York, NY",DataCamp,"From $150,000 a year","Please note that this is a part-time, contract, remote position.

Are you an expert in Python? R? SQL? Spreadsheets? Data Engineering? Do you want to share your knowledge with over 4 million learners worldwide?

The demand is growing for educated, passionate data scientists - but the days of learning data science by passively consuming video lectures are over! Real learning takes place when a student's hands are on the keyboard, writing code, working with data, and solving problems. If you agree and want to be part of the data science revolution, keep reading!

Who We Are:
DataCamp is an innovative EdTech organization with an audience of over 4 million learners that's helping to revolutionize the way people learn real-world data science and data fluency skills. Check us out at http://www.datacamp.com/create to learn more about how to get started!

What We Do:
We invite talented data professionals like yourself to join our community of Course Instructors and Project Creators to help expand our curriculum of real-world skills in Data Engineering, SQL, Google Sheets, Python, and more. No prior teaching experience is necessary, and our curriculum experts and content developers will help you every step of the way as you create a Course or Project.

Why You Should Join Us:
Scale your impact to a global audience
Share your knowledge with over 4,400,000 data scientists around the world.
Build your data science brand
Associate your name with the things you teach and cool stuff you've built.
Supplement or replace your income
While average monthly earnings per course are in the $1-2K range, our top instructors are making over $150K per year in royalties.
Use data to improve your teaching
Learn from our data on how thousands of students engage with your content.

Who We're Looking For
Must Haves:
Talented data science industry professional skilled in either Python, R, SQL, or Sheets (or all of the above)
Passionate about teaching data science and data fluency skills
Excellent written and oral communication skills in English
Would Love to See:
Previous education/teaching/training/mentoring experience
Previous experience with Github and Jupyter notebook
Completed at least one full DataCamp course

What You Can Expect:
Prepaid royalties for the first several hundred completions upon Course Hard Launch
Instructors receive royalties as long as the course is live on the DataCamp website
Time commitment: We recommend setting aside 10-15 hours per week for 12-16 weeks
DataCamp Courses follow a standardized structure with approximately 4 chapters of material, with 3-4 lessons each chapter, interspersed with hands-on coding exercises
All courses are developed as part of larger skill and career tracks that are developed months in advance. As such, we only accept applications for courses currently on our wishlist.
View our Course Wishlist here (https://docs.google.com/spreadsheets/d/1iqtAIifjaSurddhSkg_hlf-VydL7L-I8ccUETgEu5Tw/edit?ts=5be06762#gid=1004049316)

For any questions, please email create@datacamp.com
Apply to become a DataCamp instructor today!
FAQs"
Junior Data Scientist,"New York, NY 10013 (Tribeca area)",1-800-Flowers,None,"As part of the NYC Innovation Team located in vibrant startup community Galvanize located in West Soho in Manhattan, this Junior Data Scientist will be joining a multi-versed team that demonstrates code proficiency and product ownership.

The NYC Innovation Team consists of cloud engineers and react, mobile, and UX developers. The team spans multiple brands as part of 1-800-Flowers and aims to provide value and innovation to new and ongoing projects alike.

As Junior Data Scientist, you will be responsible for collecting, cleaning, and extracting data from a variety of systems at 1-800-flowers with intention to run analysis on in order to provide insights to various business groups. Developing scripts and tools to provide artificial intelligence to data of different types will be asked of. You will also assist in creating best practices for the next stage of artificial intelligence in ecommerce from a data science point of view. Working across functional teams and providing insights into how to better market, sell, and retain customers will be a constant goal for this role."
