Title,Location,Company,Salary,Description
Machine Learning Research Scientist,"Basking Ridge, NJ 07920",Perspecta Labs,None,"Business Group Highlights
Perspecta Labs
Perspecta Labs generates transformative applied research to fuel solutions for our customers’ unique challenges. We are a self-sustaining research center within Perspecta that provides applied research and engineering to enable government agencies, utilities and commercial enterprises to fully exploit the future of communications, analytics and cyber security.
Responsibilities
Research Scientist is expected to perform R&D work under the guidance of senior researchers on well-defined R&D tasks, and collaborate with peers to address research challenges. At a high level, the expected R&D work will be in the broad areas of machine learning, with applications to various domains including machine vision, autonomy, cyber security, and data analytics.

Key Responsibilities:
Perform R&D tasks, including the design of machine learning algorithms, design and implementation of software components/systems, as well as testing and evaluation of software components/systems;
Explore approaches to R&D challenges and develop novel ideas that could sufficiently address such challenges;
Develop software prototypes and cooperate with peers to conduct integration testing;
Assist the preparation of papers and technical reports to publish research results in public forums
Assist in the preparation and present ion of R&D results to the project manager and customers
Qualifications
Requires 0 to 2 years with BS/BA or 6 to 8 years no degree.
B.S. degree in Computer Science, Computer Engineering or related disciplines;
Knowledge of and hands-on experience in machine learning research and applications;
Excellent software development skills, including design, version management, and testing;
Well-versed in multiple programming languages, such as Python, C/C++, Java;
Good oral and written communication skills;
U.S. citizen.
About Perspecta
What matters to our nation, is what matters to us. At Perspecta, everything we do, from conducting innovative research to cultivating strong relationships, supports one imperative: ensuring that your work succeeds. Our company was formed to bring a broad array of capabilities to all parts of the public sector—from investigative services and IT strategy to systems work and next-generation engineering.

Our promise is simple: never stop solving our nation’s most complex challenges. And with a workforce of approximately 14,000, more than 48 percent of which is cleared, we have been trusted to just that, as a partner of choice across the entire sector.

Perspecta is anAA/EEO Employer - Minorities/Women/Veterans/Disabled and other protected categories.
Options
Apply for this job onlineApply
Share
Email this job to a friendRefer
Sorry the Share function is not working properly at this moment. Please refresh the page and try again later.
Share on your newsfeed




As a government contractor, Perspecta abides by the following provision
PAY TRANSPARENCY NONDISCRIMINATION PROVISION
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)"
Ruby Backend Developer,"New York, NY",Biscuit & Chai,"$6,000 - $8,000 a month","Biscuit & Chai is looking for a Sr. Full Stack Engineer (Contractor) to help brew up strategic, immersive and effective experiences across web, mobile, and social! We are a full digital agency that specialize in designing, developing and marketing apps and websites for our clients.
Your responsibilities:
Collaborate on projects spanning a broad range, including improving existing products and/or building new ones
Develop high-quality, production-ready solutions that fall within given specifications
Review existing code to efficiently build on
Test applications and report feedback
Conduct root cause analysis on any errors or defects
Maintain other responsibilities as needed
Your creds:
5+ years of experience in the following: Ruby, Sinatra, Postgres
Experience with Python
Experience building and integrating REST APIs
Thorough understanding of the software development lifecycle
Comprehension of good database schema design and writing efficient database queries
Cloud hosting and server infrastructure experience
Willingness to work with mobile application developers to solve problems and build features in internal APIs
Experience using Git/GitHub
Nice-to-haves:
Experience with Android or iOS (Swift + Objective-C) development
Experience or interest in Machine Learning
Experience with GTFS / GeoJSON
Job Type: Contract
Pay: $6,000.00 - $8,000.00 per month
Experience:
PostgreSQL: 5 years (Preferred)
Ruby: 5 years (Preferred)
Python: 2 years (Preferred)
Work authorization:
United States (Required)
Application Question:
What other programming languages are you proficient in, and how many years of experience do you have in them?
Contract Length:
5 - 6 months
7 - 11 months
Varies
Work Location:
Fully Remote
Benefits:
None
Schedule:
Monday to Friday
Company's website:
https://biscuitandchai.com
Work Remotely:
Yes"
Senior Quantitative Researcher - High Frequency Trading - NY...,"New York, NY","HK Consulting, Inc.","$200,000 - $450,000 a year","Looking for Senior Quantitative Researcher - Salary up to $450k
Come join a brand new group at major prop trading house! Our client is a leading quantitative investment company focused on computer-driven trading in global financial markets. They are a team of researchers, engineers, and financial industry professionals using sophisticated statistical models to analyze data and identify predictive signals to generate superior investment returns. Investment teams each focus on their independent strategies while utilizing the firm’s proprietary, state-of-the-art technology and data platform to optimize their alpha research. Strong implementation of scientific and mathematical methods to explore, isolate, and solve problems in the global financial markets.
Job Summary:
The Senior Quantitative Researcher will join high-frequency trading team focusing on developing alpha-driven trading strategies on the global markets using scientifically rigorous research and cutting-edge technology. This role will work closely with the team leader and other members on data processing, signal generation, modeling, strategy simulation and calibration, and developing the team’s research pipeline and simulation environments. This is a rare opportunity for an experienced researcher to join a well-positioned team at an early stage to deliver measurable and long-lasting PnL impact while collaborating with individuals with proven experience building some of the most profitable high-frequency strategies in the world.
Responsibilities:
Contribute to and drive research projects with heavy PnL impact, including alpha signal generation, statistical modeling and machine learning, strategy simulation and calibration, post-trade analysis, and so forth.
Develop or improve the team’s research pipeline and simulation environments
Write production trading strategies (C++)
Required Skills, Qualifications and Experience:
Bachelors or advanced degree in a STEM major
Strong intuition, hands-on mentality, and keen interest in playing with data
Knowledge of statistics, statistical modeling or machine learning techniques and knowing whether, when and how to apply them in data-driven research
Programming skills in C++
Programming skills in Python or other scripting languages
Ideally 4+ years of working experience in quantitative trading, preferably in high-frequency trading
Demonstrated ability to write well-documented code
Passion for building research pipelines and tools
*
Preferred Skills, Qualifications and Experience:
Significant experience in alpha generation or strategy research in quantitative trading, preferably in high-frequency trading
Significant experience in building research pipelines and tools for quantitative trading that process large volume of data in cloud or distributed computing environments
Significant experience in trading equities and/or futures in US and other major global markets
Strong publication record in machine learning, statistical modeling, optimization, signal processing, computer vision, natural language processing or a similar data-driven research field, e.g., NeurIPS, ICML, ICLR, AAAI, KDD, JMLR, PAMI, etc. for machine learning
Job Type: Full-time
Pay: $200,000.00 - $450,000.00 per year
Benefits:
401(k)
401(k) Matching
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Experience:
knowledge of statistics, statistical modeling or machine lea: 4 years (Required)
Strong publication record in machine learning, statistics: 4 years (Preferred)
trading equities and/or futures in US and other major global: 4 years (Required)
C++: 4 years (Required)
quantitative trading, preferably in high-frequency trading: 4 years (Required)
alpha generation or strategy research in quantitative tradin: 4 years (Required)
Schedule:
Monday to Friday
Work Remotely:
No"
Tik Tok Business Researcher Internship,"New York, NY",ByteDance,None,"ByteDance is a technology company powered by machine learning, aiming at building global platforms for creations and interactions. During our seven years' development, the unique ByteStyle is created, which are aim for the highest, be grounded & courageous, be open & humble, be candid & clear and always day one. We are now hiring strategic analysis interns based in New York! By joining us, you will participate in the whole process of international strategies from formulation to implementation and be guided by the senior industry experts.
Job Description:
Work closely with strategy team and other teams in NYC office to develop and implement strategy
Interview competitors and industry expert
Research on advertising marketing in US, including ad spending of different industries and of different media
Position Requirements:
Strategic thinker
Attention to detail
Initiative, Self-starter, Highly motivated
MS office (especially PowerPoint and excel)
Past internship experience in consulting, VC, strategic role in an leading Internet company and research analyst role in banking/PE strong preferred
Fluent in Chinese and English (Strong preferred)
If you want to do challenging things with interesting people, please join us!
Job Type: Internship
Education:
Bachelor's (Preferred)
Location:
New York, NY (Required)
Language:
English, Chinese (Preferred)
Work Location:
One location"
AWS Cloud Trainee (0-3 yrs),"New York, NY",Cloud Wizard Consulting,None,"About Us
Cloud Wizard Consulting – APN authorised partner are looking for candidates, aspiring to build a career in the AWS cloud. We expect the Cloud market to grow exponentially over the next few years and as such are looking for AWS certified candidates to work with us.
We are interested in talking to
Solution Architects
System Operations associates
Cloud Developers
Cloud Migration Specialists
Big Data Engineers
Machine Learning and Artificial Intelligence specialists
If you are in a similar role and are looking to move to the AWS cloud then we would be interested in having a conversation.
Tags
#AWS #AWSCloud #Trainee #Freshers #Technology
Job Types: Temporary, Contract"
REMOTE - Machine Learning Intern,"Oakland Gardens, NY 11364",TouchSuite,None,"Grubbrr is a leading technology company that delivers ordering solutions for small to large businesses across different verticals including QSR & Fast-Casual Restaurants, Stadiums & Arenas, Casinos, Micro-Markets, Movie Theatres, Entertainment Venues, and others. Offerings include a platform that contains an ecosystem package:
Self-service kiosks
Contactless ordering solutions
Point-of-sale systems
Mobile ordering and online ordering
Kitchen display systems
This can include additional services intended to materially increase business efficiency. Grubbrr is experiencing hyper growth from the demand for its solutions addressing new post-coronavirus consumer behaviors. Grubbrr has been at the forefront of utilizing AI, machine learning, facial recognition, digital sensors, and other emerging technologies to enable businesses and venues to meet the unique needs of operating in today?s environment.
Machine Learning Interns? responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming, and we are here to expose you to those skills. If you also have or want knowledge of data science and software engineering, we would like to meet you.
Your goal will be to shape and build efficient self-learning applications.
Responsibilities:
Study and transform data science prototypes
Execute DNNs and algorithms from initial evaluation and experimentation all the way to shipping
Define training datasets
Work with real-time camera feed.
Design machine learning systems
Research and implement appropriate ML algorithms and tools
Develop machine learning applications according to requirements
Select appropriate datasets and data representation methods
Run machine learning tests and experiments
Perform statistical analysis and fine-tuning using test results
Train and retrain systems when necessary
Extend existing ML libraries and frameworks
Keep abreast of developments in the field
Required Skills and Minimum Qualifications:
Completed or completing Machine Learning coursework
SQL knowledge
Experience with Computer Vision and OpenCV is a plus
Understanding of data structures, data modeling and software architecture
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)
Outstanding analytical and problem-solving skills
BSc in Computer Science, Mathematics, or similar field; Master?s degree is a plus
Who We Need:
Outstanding technical abilities and knowledge
Solid organizational and time management skills
Ability to thrive in a fast-paced environment
Ability to learn quickly new concepts and activities"
Machine Learning Engineer Position,"New York, NY",KELLS,"$60,000 - $100,000 a year","Kells Machine Learning Engineer Position
About this Job
Kells develops AI-powered products and services to improve how dental care is being conducted and delivered. We are looking for talented machine learning engineers to bring our core technology platform to the next level. This includes creating large scale datasets with high quality annotations, building models for object detection and segmentation with high accuracy, model compression and optimization, human-in-the-loop learning and more. You will work with experts in the field to design, experiment and deploy machine learning systems, present your work in public venues, and gain end-to-end experience to put machine learning into a product.
Expected Qualifications:
Master or Ph.D in computer vision, machine learning, data science and AI related fields.
Avid problem solver, active learner and good communicator.
Solid programming skill using Python and scientific computing libraries.
Knowledge of using cloud platforms like AWS for running jobs.
Able to demonstrate working experience in building and deploying machine learning models using libraries like PyTorch or Tensorflow/keras.
Experience in working with medical images is a plus.
This position offers a full-time employment opportunity with compensation commensurate with applicant’s experience. In addition to extensive technical experience, you will have exposure to the other parts of an early-stage startup including product and business development. If you are excited to apply your machine learning skills to build real-world products, please send your resume (github account if available.
About Kells Inc.
Kells is a New York based early-stage startup building AI-powered platform to assist dentists to make better diagnosis and treatment for their patients. Our current product analyzes dental imagery to identify critical findings related to potential dental diseases within seconds and generate consolidated reports automatically. We integrate with existing dental workflow seamlessly to boost the productivity and performance for dentists while increasing patient’s clinical care.
Our founding team is comprised of dentist with over 30 years of practice history as clinical expert and DSO (dental service organization) developer, technologist with Ph.D in AI and built products at companies like Google, Amazon, Microsoft, and business veteran who co-developed one of the largest DSO’s in New England.
We’re a small team with big dreams of helping the dental industry work better and people live better.
Job Types: Full-time, Internship
Pay: $60,000.00 - $100,000.00 per year
Work Location:
One location
Fully Remote
Benefits:
Work from home
Flexible schedule
Internship Compensation:
Pay
This Job Is:
A job for which military experienced candidates are encouraged to apply
Schedule:
Monday to Friday
Weekends required
Company's website:
www.getkells.com
Work Remotely:
Yes"
Machine Learning Engineer,"Manhattan, NY",THE TALENT STATE CONSULTANT,"$150,000 - $170,000 a year","Job Description Responsibilities:
1. Provide strategy and guidance for the architecture of ML development data, and create solutions to process a large variety of data sources, all with the purpose of forming a high integrity model ready data source.
2. Lead he deployment of models into production, in close collaboration with technology, data science teams and business partners.
3. Be action oriented and comfortable working with complex data.
4. Think strategically and work to define overall direction for solving complex business issues.
5. Monitor and track data quality metrics
6. Proactively address and resolve technical issues to support key business initiatives.
7. Utilize emerging technologies to address business issues through technical innovation.
8. Functions as data/ML expert, contribute to analytics/solutions design and implementation. decisions
9. Can work independently with some supervision and be part of a collaborative team
10. Work with Project Managers and Scrum Masters to provide milestones and stories
11. Proactively and effectively communicate in various verbal and written formats with senior level member of the team and partners
Required qualifications:
Graduate-level degree in computer science, engineering, or relevant experience in the field of Business Intelligence, Data Mining, Database Engineering, Programming
8-10 years of overall experience working in the field of data wrangling and programming with a minimum of 2 year’s experience with ingesting, cleaning, merging and applying necessary data wrangling logic in Hadoop
Excellent command of SQL – best practices, optimization, troubleshooting and debugging
Strong Knowledge of Enterprise Platforms, Cloud Technology and high performance computing.
Proficiency using Python for all data related work such as Numpy, Pandas, PySpark
Familiar with the requirements of real-time inference
Experience working with Linux Operating System
Experience working with data visualization tools or packages
Experience building Exploratory Data Analysis reports such as Histograms, Box plots, Pareto, Scatter Plot using R, Python or a Data Visualization tool such as Tableau, Spotfire
Preferred:
Understanding of statistical modeling concepts, designs and analytics-based products
Any experience with Kubernetes
Any experience in using ETL tools such as Ab Initio, Talend, Informatica, Pentaho
Any experience working with Data Warehouses and/or Data Marts
Any experience in Life Insurance Industry
Job Type: Full-time
Pay: $150,000.00 - $170,000.00 per year
Experience:
Linux Operating System: 5 years (Required)
Data Science Technical Product manager: 8 years (Required)
Cloud Technology: 5 years (Required)
Data Analysis reports: 5 years (Required)
data wrangling: 10 years (Required)
SQL: 5 years (Required)
Python,Numpy, Pandas, PySpark: 5 years (Required)"
Junior Software Engineer,"Jersey City, NJ 07302 (Downtown area)",Apprentice,"$55,000 - $75,000 a year","Junior Software Engineer
We are looking for an enthusiastic Junior Software Engineer to join our experienced engineering team in building the future of manufacturing in life sciences. You will report directly to the Director of Engineering and assist the Engineering team with all functions of software coding and design. Our technology stack includes an Android application (written in Kotlin and Java) , a web app built with Angular 7 (written in html , sass, and typescript), an iOS application written in Swift and an API built using Sails.js (written in Javascript). You will work closely with experienced engineers on different platforms based on your experience and preference to fix bugs and build features.
Duties and Responsibilities
Collaborate with other developers and engineers to design, build, and maintain applications
Write and debug code on various platforms
Troubleshoot software issues
Document code on various platforms
Test code on various platforms
Requirements and Qualifications
Bachelor’s degree in Computer Science
Experience writing code in one of the following Swift, JavaScript, Typescript, Java, or Kotlin
Experience using MongoDB to update and retrieve data
Experience with the Angular framework, iOS, Android, or Node.js
Good analytical skills
Good communication skills
Nice To Have
Experience or interest in one or more of the following : Extended Reality, Natural Language Processing and/or Machine Learning.
Job Type: Full-time
Pay: $55,000.00 - $75,000.00 per year
Benefits:
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Location:
Jersey City, NJ 07302 (Preferred)
Additional Compensation:
Bonuses
This Job Is:
Open to applicants who do not have a college diploma
Schedule:
Monday to Friday
Company's website:
Apprentice.io
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19"
Data Scientist,"New York, NY 10001 (Chelsea area)",Glean,"$100,000 - $140,000 a year","Data Science @ Glean
New York City / Remote OK
ABOUT GLEAN (currently in stealth mode)
Glean is injecting intelligence into expense management. Founded by fintech veteran and seasoned CFO Howard Katzenberg, Glean is an AI-powered spend intelligence solution that saves SMBs money by analyzing expense drivers and finding line-item level insights overlooked by most accounts payable solutions, which are focused on speeding up payment cycles rather than optimizing vendor spend.
Over time, our mission is to become the all-in-one spend management solution for SMBs that uses AI to: analyze spend, manage approval and payment workflows, identify anomalous spend & savings opportunities, benchmark spend performance vs. peers, find & negotiate savings with vendors, and forecast future expense trends.
Glean will be every finance team’s best friend!
Join us!
ABOUT THIS ROLE
We are building the next billion-dollar business in enterprise SAAS. We have an amazing founding team, with experts in product, engineering, data science, and machine learning, and we just launched our MVP. We are now searching for a data scientist that will own the core data science work, build NLP applications, and generate insights.
After we ingest PDFs from clients, we perform OCR, extract the text using text classification models, validate the extraction with a human in the loop, and then map all the data into our canonical taxonomy.
Once the data is mapped to our taxonomy, we have a clean digital invoice-based data asset. We generate insights using this data asset, surfacing line-item level insights to our clients via our web app.
Your role will be critical to generating this intelligence for our clients.
Here are some of the major items you will own at Glean:
Data science code to clean and prepare the data extracted from invoices, including handling nulls, addressing exceptions, imputing data (when possible), and enriching data using third-party APIs
Data science code to validate the goodness of extractions performed by the ML models + human in the loop
Collaborate with vendors to perform OCR and text classification
Develop NLP models to map the extracted data to our canonical taxonomy of vendors and line items (e.g., using word embeddings, etc.) at scale
Once the data has been mapped to the canonical taxonomy, perform feature engineering, generate insights, detect anomalies, and surface the intelligence in a digestible format to the end user
You will work closely with the data engineers to productionize the data science and machine learning code that is developed, and you will work closely with the engineering team to make sure the data science and machine learning pipelines are performant in production.
You’ll be accountable for Glean’s:
Data science vision – ownership over and definition of the data science pipeline, working closely with the executive team, and acting as a thought leader across the company
Technical execution – define, articulate, and execute the data science strategy from launch to scale, managing the day-to-day execution, and implementing best practices
Fast prototyping culture – Develop data science and machine learning applications fast, prototyping quickly to solve thorny business problems without getting bogged down in theory (ship early and often)
Getting your hands dirty - we’re a small team and we have a lot of work ahead of us. You should be excited to roll up your sleeves and help the team in any way you can
Build, build, build – jumping in and writing data science code, from architecture to fixing bugs, delivering NLP and insights within the three months of hire. We'll rely on you and your team to handle day-to-day execution including:
Cleaning the extracted data, validating the accuracy of the extraction, and addressing issues as they occur
Shipping NLP applications to perform mapping of extracted data at scale
Developing and deploying models using PyTorch or TensorFlow
Writing code using PySpark
Performing feature engineering on the cleansed and mapped data
Generating insights and narratives
Performing anomaly detection to surface what the client needs to know fast
Wrangling, standardizing, enhancing, implementing, and monitoring data repositories
Creating workflows to ingest, enrich, and make data available across the Glean platform
PERFECT FIT
You’ll be a perfect fit for the Glean Team if…
You want to join an early-stage startup or you are extremely anxious to be challenged at your first startup
You like the tension between craft and shipping. You have strong ability to quickly and effectively evaluate technical tradeoffs and translate them into short/long term business decisions
You’ve built highly scalable data pipelines and have deep expertise in setting technical vision, architecting, building, and maintaining performant systems, from launch to scale
You are passionate about building / leading data science teams and rapidly developing data pipelines at various stages of growth
You pride yourself in communicating complex concepts, including the ability to distill intricate workflows and systems into clear processes and decisions with measurable company-wide impact
You ask “why” a lot and use critical thinking and data to back up your intuitions. You hate when a customer struggles through your product experience
You have managed a budget before and have seen first-hand the challenges in managing vendor spend
Job Type: Full-time
Pay: $100,000.00 - $140,000.00 per year
Benefits:
401(k)
Dental Insurance
Flexible Spending Account
Health Insurance
Vision Insurance
Schedule:
Monday to Friday
Experience:
Data Science: 3 years (Preferred)
Machine Learning: 3 years (Preferred)
Python: 3 years (Preferred)
NLP: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Additional Compensation:
Other forms
Work Location:
Fully Remote
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Yes"
