Title,Location,Company,Salary,Description
Data Science Specialist USA,"New York, NY",Mphasis,None,"Note: This position is accepting applicants for- New York and Texas.
Skills :
Excellent knowledge of NLP and ML alogrithms.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{depending on specific project requirements}}. Excellence in at least one of these is highly desirable
Great communication skills
Experience with data visualization tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig {{actual list depends on what you are currently using in your company}}
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase {{depending on project needs}}
Good applied statistics skills, such as distributions, statistical testing, regression, etc.

Qualification:
TECH (Computer Science Engineering/ IT)/ MCA
What’s in for you?
At Mphasis, we promise you the perfect opportunity of building technical excellence, understand business performance and nuances, be abreast with the latest happenings in technology world and enjoy a satisfying work life balance.
With the current opportunity, you will get to work with the team that has consistently been setting benchmarks for other deliveries in terms of delivery high CSATs, project completion on time and being one of the best teams to work for in the organization.
You get an open and transparent culture along with freedom to experimentation and innovation"
Chatbot / Conversational AI Developer - Deloitte (Remote/Con...,"New York, NY",Experfy,$85 - $125 an hour,"Experfy, a Harvard-incubated on-demand talent platform, is working with Deloitte to build an innovative Future of Work model in which elite consultants work remotely on short-term and long-term projects. Top experts who are selected to become part of Deloitte TalentCloud receive preferred access to contract opportunities that are focused on cutting-edge emerging technologies. We invite candidates to apply to become part of this prestigious community and take advantage of virtual work arrangements.
Position Summary
We seek an experienced Conversational AI Specialist, specializing in designing, architecting and testing chatbots. You will manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for large companies.
Roles and Responsibilities:
Architect, Position, Design, Develop and Deploy enterprise solutions which include components across the Artificial Intelligence spectrum such as Chatbots, Virtual Assistants, Machine Learning, and Cognitive Services
Manage teams in the identification of business requirements, functional design, process design (including scenario design, flow mapping), prototyping, testing, training, defining support procedures.
Formulate planning, budgeting, forecasting and reporting strategies.
Manage full life cycle implementations.
Develop statements of work and/or client proposals.
Identify business opportunities to increase usability and profitability of information architecture.
Experience with program leadership, governance and change enablement.
Develop and manage vendor relationships.
Lead workshops for client education.
Manage resources and budget on client projects.
Assist and drive the team by providing oversight.
Qualifications
3+ experiences developing and deploying voice and/or text conversational flows for virtual agents or virtual assistants involving IPSoft Amelia, Kore.ai, Nuance Nina, Amazon Lex & Alexa, Dialogflow or IBM Watson
Experienced programming knowledge in both SAS and SQL, Operating system experience with UNIX and relational database knowledge such as ORACLE/TERADATA. SAS/Base, SAS/Stat, SAS/Macro preferred
Strong knowledge of machine learning, deep learning, natural language processing, neural networks, dialog systems, dialog management, and natural language generation
Experience with quantitative modeling (design, development & implementation)
Experience with prototyping tools such as Sketch, Axure, InVision, etc.
Expertise in linguistics
Understands complexity of natural language and conversational experiences
API development experience
Advanced skills in Java/C++, R, Python, etc.
Experience with quantitative modeling (design, development & implementation) using 3+ types of algorithm (e.g., Decision Trees, Naive Bayes Classification, Ordinary Least Squares Regression, Logistic Regression, Support Vector Machines, Ensemble Methods, Clustering Algorithms, Principal Component Analysis, Singular Value Decomposition, Independent Component Analysis)
Preferred Skills:
Bachelor's Degree preferably in linguistics, human-computer interaction, interaction design, communications, psychology, or closely related field
2+ years of consulting experience on AI projects
Expertise in at least one functional application preferred (e.g., Virtual Travel & Hospitality Concierge, Virtual Product Specialists, Virtual Personal Shopper, Virtual Bank Teller & Advisor, Virtual Account Representative, Virtual IT Helpdesk Support, Virtual HR Specialist, Virtual Onboarding Advisor, On-the-job Task and Process Guidance, Corporate Policy Guidance, etc.)
Expertise in 2+ domain preferred (e.g., Customer & Marketing, Finance, M&A, Operations, Pricing, Risk, Supply Chain, Workforce, etc.)
Certification or expertise on at least one of the following platforms: IPSoft Amelia, Kore.ai, Nuance Nina, Amazon Lex & Alexa, Dialogflow or IBM Watson
Experience in Technology, Media, Telecommunications, Consumer (especially transportation) and Financial Services & Insurance a plus
Ability to work independently, manage small engagements or parts of large engagements.
Strong oral and written communication skills, including presentation skills (MS Visio, MS PowerPoint).
Strong problem solving and troubleshooting skills with ability to exercise mature judgment.
An advanced degree in the area of specialization is preferred.
Job Type: Contract
Pay: $85.00 - $125.00 per hour
Experience:
Java/C++/R/Python: 3 years (Required)
Natural Language Processing (NLP): 3 years (Required)
prototyping tools such as Sketch/Axure/InVision: 3 years (Required)
SQL: 3 years (Required)
working with virtual agents - Dialogflow/IBM Watson: 2 years (Required)
working with virtual agents - Nuance Nina/Amazon Lex & Alexa: 2 years (Required)
working with virtual agents such as IPSoft Amelia/Kore.ai: 2 years (Required)
Application Question:
Are you an independent contractor? / Do you have your own business service?
Work Location:
Fully Remote
Benefits:
None
Work Remotely:
Yes"
Head of Data Science,"New York, NY",Parallel Consulting Inc,"$180,000 - $220,000 a year","Background:
A Major Financial services client is looking for a Head of Data Science to report directly to the Managing Director. The role will be to build a team from day one but staying hands on in terms of Data Science delivery across this area of the business. You will have full ownership of Data Science projects for this prestigious FS Firm.
Who will you be working for?
This company is a global financial services firm that is recognised across the world. Through several different platforms in analytics, this team looks at creating as much profitability as possible for this service line with advanced modelling techniques.
What skills do you need for the role?
· 7+ years of experience within Data Science projects in any domain.
· Strong advanced modeling skills and the ability to work with large datasets.
· Needs expertise in R, Python, Spark, Hadoop and visualisation experience using Shiny, Tableau.
· Proven experience in either Machine Learning or NLP projects
· A very good understanding of statistical concepts, regression-based forecasting models and time series analysis.
· Proven experience of mentoring more junior professionals and building teams.
· The ability to derive insights from data and communicate them effectively to key stakeholders and decision makers.
· Strong education from a reputable school
What skills would be nice to have?
· Financial services experience
· Experience from a consulting firm of leading FS company.
· PhD in a computer science or numerical subject.
How much is the position paying?
Competitive bonus and package
NYC123
This position is a challenging and varied role at a very exciting company. If this position sounds of interest then please contact John Bevan on 646 491 6935
Job Type: Full-time
Pay: $180,000.00 - $220,000.00 per year
Experience:
data scientist: 7 years (Preferred)"
Natural Language Processing Engineer,"New York, NY",Agolo,None,"Do you have a passion for the latest advances in Natural Language Processing? Are you looking for an energizing environment to hone your research, system design, and software engineering abilities? Do you want to build products that directly affect users?
We are seeking a motivated Natural Language Processing Engineer to join our team. We are an international team of engineers and scientists with offices in New York City and Cairo. We have a diverse set of skills among our talented and professional team members, and we'd like you to contribute your abilities.
You would help us improve and scale our state-of-the-art text summarization, document-clustering, and information extraction platform. Here are some examples of projects you may own: using relation extraction to detect discourse structure, tracking topics in hundred-page documents, or producing abstractive summaries for a high throughput of news articles in milliseconds.
What you'll do day-to-day:
Find solutions to hard NLP tasks by improving upon the latest academic literature, guiding the technical direction of our products
Prototype and rapidly evaluate creative ideas to gain insight into their strengths and weaknesses
Plan projects using Agile practices and design experiments using sound scientific methodologies
Write high-quality code in Python and Java using many open-source frameworks and libraries
Collaborate with engineers to build high-performance NLP Deep Learning pipelines
What you'll bring:
A track record of results in NLP and Deep Learning, preferably on GitHub
Your coding skills to produce efficient, maintainable code quickly
Your capacity to simplify and explain complex technical concepts verbally and in writing
Your enthusiasm for solving problems with a team of engineers and scientists, as well as individually
Your ability to adapt to changing requirements and re-prioritize with minimal supervision
Your interest in publishing academic papers and keeping up to date on ground breaking published work"
Junior Software Engineer,"Jersey City, NJ 07302 (Downtown area)",Apprentice,"$55,000 - $75,000 a year","Junior Software Engineer
We are looking for an enthusiastic Junior Software Engineer to join our experienced engineering team in building the future of manufacturing in life sciences. You will report directly to the Director of Engineering and assist the Engineering team with all functions of software coding and design. Our technology stack includes an Android application (written in Kotlin and Java) , a web app built with Angular 7 (written in html , sass, and typescript), an iOS application written in Swift and an API built using Sails.js (written in Javascript). You will work closely with experienced engineers on different platforms based on your experience and preference to fix bugs and build features.
Duties and Responsibilities
Collaborate with other developers and engineers to design, build, and maintain applications
Write and debug code on various platforms
Troubleshoot software issues
Document code on various platforms
Test code on various platforms
Requirements and Qualifications
Bachelor’s degree in Computer Science
Experience writing code in one of the following Swift, JavaScript, Typescript, Java, or Kotlin
Experience using MongoDB to update and retrieve data
Experience with the Angular framework, iOS, Android, or Node.js
Good analytical skills
Good communication skills
Nice To Have
Experience or interest in one or more of the following : Extended Reality, Natural Language Processing and/or Machine Learning.
Job Type: Full-time
Pay: $55,000.00 - $75,000.00 per year
Benefits:
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Location:
Jersey City, NJ 07302 (Preferred)
Additional Compensation:
Bonuses
This Job Is:
Open to applicants who do not have a college diploma
Schedule:
Monday to Friday
Company's website:
Apprentice.io
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19"
2020 Information Technology Intern,"Rahway, NJ",Merck,None,"Job Description
The Future Talent Program features internships that last up to 12 weeks and will include one or more projects. These opportunities can provide you with great development and a chance to see if we are the right company for your long-term goals.
We are seeking motivated students to join our Data Science and Scientific Informatics team during the summer of 2020; particularly, students whose expected internship opportunity was canceled due to COVID-19 will be given special consideration.
As a summer student in our group, you will have project opportunities to partner with laboratory and data scientists in our Research Labs to apply advanced computational methods (such as natural language processing, image analysis, machine learning, and data engineering) across our Company's Discovery and Pre-clinical Development enterprise. This could include genomics, target identification and validation, biomarker discovery, safety assessment, chemical processing, pharmacokinetics/pharmacodynamics, and chemical discovery.
The role may focus on developing high-performance data pipelines, machine learning applications, visual analytics, and integrating multi-dimensional data sets to support our Company's drug discovery biology and translation medicine research. This is a virtual opportunity; no relocation required.
Education and Skills:
Studying towards a Bachelors or Advanced degree in Applied Math, Computer Science, Chemistry, Biology, Biochemistry, Physics, Computer Engineering, Biomedical Engineering, or related disciplines
Familiarity in one of the following scientific computation environments: Python, Matlab, R, or JavaScript
Familiarity with statistics, discrete math, and probabilistic modeling, a plus
Familiarity with statistical learning methods, such as supervised and unsupervised modeling, a plus
Familiarity with data visualization techniques to effectively explore datasets and models (e.g. R Shiny, Dash, matplotlib), a plus
Knowledge of databases (e.g. Postgresql), ontologies or semantic technologies and experience with extracting data from databases, APIs and platforms, a plus
Excellent oral and written communication skills in English
Excellent interpersonal and team skills
Demonstrated ability to collaborate in project teams along with a drive to quickly grasp new technological concepts
Our Support Functions deliver services and makes recommendations about ways to enhance our workplace and the experience of working at our organization. Our Support Functions include HR, Finance, Information Technology, Legal, Procurement, Administration, Facilities and Security.
Who we are …
Merck & Co., Inc., Kenilworth, New Jersey, USA is known as “Merck” in the United States, Canada & Puerto Rico. We are known as “MSD” in Europe, Middle East, Africa, Latin America & Asia Pacific. We are a global biopharmaceutical leader with a diverse portfolio of prescription medicines, oncology, vaccines and animal health products.
We are driven by our purpose to develop and deliver innovative products that save and improve lives. With 69,000 employees operating in more than 140 countries, we offer state of the art laboratories, plants and offices that are designed to Inspire our employees as we learn, develop and grow in our careers. We are proud of our 125 years of service to humanity and continue to be one of the world’s biggest investors in Research & Development.
What we look for …
In a world of rapid innovation, we seek brave Inventors who want to make an Impact in all aspects of our business, enabling breakthroughs that will affect generations to come. We encourage you to bring your disruptive thinking, collaborative spirit and diverse perspective to our organization. Together we will continue Inventing For Life, Impacting Lives while Inspiring Your Career Growth.
INVENT.
IMPACT.
INSPIRE.
FTP2020
US and Puerto Rico Residents Only
If you need an accommodation for the application process please email us at staffingaadar@merck.com"
Data Scientist,"New York, NY 10001 (Chelsea area)",Glean,"$100,000 - $140,000 a year","Data Science @ Glean
New York City / Remote OK
ABOUT GLEAN (currently in stealth mode)
Glean is injecting intelligence into expense management. Founded by fintech veteran and seasoned CFO Howard Katzenberg, Glean is an AI-powered spend intelligence solution that saves SMBs money by analyzing expense drivers and finding line-item level insights overlooked by most accounts payable solutions, which are focused on speeding up payment cycles rather than optimizing vendor spend.
Over time, our mission is to become the all-in-one spend management solution for SMBs that uses AI to: analyze spend, manage approval and payment workflows, identify anomalous spend & savings opportunities, benchmark spend performance vs. peers, find & negotiate savings with vendors, and forecast future expense trends.
Glean will be every finance team’s best friend!
Join us!
ABOUT THIS ROLE
We are building the next billion-dollar business in enterprise SAAS. We have an amazing founding team, with experts in product, engineering, data science, and machine learning, and we just launched our MVP. We are now searching for a data scientist that will own the core data science work, build NLP applications, and generate insights.
After we ingest PDFs from clients, we perform OCR, extract the text using text classification models, validate the extraction with a human in the loop, and then map all the data into our canonical taxonomy.
Once the data is mapped to our taxonomy, we have a clean digital invoice-based data asset. We generate insights using this data asset, surfacing line-item level insights to our clients via our web app.
Your role will be critical to generating this intelligence for our clients.
Here are some of the major items you will own at Glean:
Data science code to clean and prepare the data extracted from invoices, including handling nulls, addressing exceptions, imputing data (when possible), and enriching data using third-party APIs
Data science code to validate the goodness of extractions performed by the ML models + human in the loop
Collaborate with vendors to perform OCR and text classification
Develop NLP models to map the extracted data to our canonical taxonomy of vendors and line items (e.g., using word embeddings, etc.) at scale
Once the data has been mapped to the canonical taxonomy, perform feature engineering, generate insights, detect anomalies, and surface the intelligence in a digestible format to the end user
You will work closely with the data engineers to productionize the data science and machine learning code that is developed, and you will work closely with the engineering team to make sure the data science and machine learning pipelines are performant in production.
You’ll be accountable for Glean’s:
Data science vision – ownership over and definition of the data science pipeline, working closely with the executive team, and acting as a thought leader across the company
Technical execution – define, articulate, and execute the data science strategy from launch to scale, managing the day-to-day execution, and implementing best practices
Fast prototyping culture – Develop data science and machine learning applications fast, prototyping quickly to solve thorny business problems without getting bogged down in theory (ship early and often)
Getting your hands dirty - we’re a small team and we have a lot of work ahead of us. You should be excited to roll up your sleeves and help the team in any way you can
Build, build, build – jumping in and writing data science code, from architecture to fixing bugs, delivering NLP and insights within the three months of hire. We'll rely on you and your team to handle day-to-day execution including:
Cleaning the extracted data, validating the accuracy of the extraction, and addressing issues as they occur
Shipping NLP applications to perform mapping of extracted data at scale
Developing and deploying models using PyTorch or TensorFlow
Writing code using PySpark
Performing feature engineering on the cleansed and mapped data
Generating insights and narratives
Performing anomaly detection to surface what the client needs to know fast
Wrangling, standardizing, enhancing, implementing, and monitoring data repositories
Creating workflows to ingest, enrich, and make data available across the Glean platform
PERFECT FIT
You’ll be a perfect fit for the Glean Team if…
You want to join an early-stage startup or you are extremely anxious to be challenged at your first startup
You like the tension between craft and shipping. You have strong ability to quickly and effectively evaluate technical tradeoffs and translate them into short/long term business decisions
You’ve built highly scalable data pipelines and have deep expertise in setting technical vision, architecting, building, and maintaining performant systems, from launch to scale
You are passionate about building / leading data science teams and rapidly developing data pipelines at various stages of growth
You pride yourself in communicating complex concepts, including the ability to distill intricate workflows and systems into clear processes and decisions with measurable company-wide impact
You ask “why” a lot and use critical thinking and data to back up your intuitions. You hate when a customer struggles through your product experience
You have managed a budget before and have seen first-hand the challenges in managing vendor spend
Job Type: Full-time
Pay: $100,000.00 - $140,000.00 per year
Benefits:
401(k)
Dental Insurance
Flexible Spending Account
Health Insurance
Vision Insurance
Schedule:
Monday to Friday
Experience:
Data Science: 3 years (Preferred)
Machine Learning: 3 years (Preferred)
Python: 3 years (Preferred)
NLP: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Additional Compensation:
Other forms
Work Location:
Fully Remote
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Yes"
AI Scientist - Deep Learning for Natural Language Processing,"New York, NY 10017 (Midtown area)",Covera Health,None,"About the company
At Covera Health, we have proven that advanced data science can prevent serious misdiagnoses which result in poor outcomes for patients and increased costs for payers. Using our proprietary framework, we help patients recover better, faster, and more affordably. Today, we are working with some of the largest healthcare payers in the country to potentially impact millions of patient lives. We are passionate about improving healthcare for every patient.

About the role
We are looking for a talented AI Scientist with a focus on Deep Learning and Natural Language Processing to join us in our commitment to improve the quality of care for patients in every community across the nation. It is crucial that you have a Masters or PhD with a thesis and work in application of image analysis methodologies.

You will work with a growing multidisciplinary team of talented data scientists, other statisticians, engineers, and researchers to leverage unique healthcare data (in the form of MRI images, clinical reports, claims data, and beyond) to create new and improved methods for assessing and predicting the quality of care delivered by healthcare providers and determining the impact that care quality has on overall patient outcomes and cost. You will have the opportunity to work with extremely diverse and entirely unique medical image and healthcare datasets that extend to all phases of care delivery (referral, diagnosis, therapy, and outcome/follow-up) from the perspective of all key stakeholders (patients, providers, payers).

Your responsibilities will include helping to execute the company’s AI strategy in the area of language understanding, as well as to further create, extend, and validate the language processing algorithms in use at Covera Health. You will play a key role in producing and sharing the results we achieve with the broader scientific community. You will be expected to:
Investigate, develop and evaluate new and existing robust techniques for machine learning based analytics, automated question answering using natural language processing across a variety of large and diverse medical datasets
Prototype and validate analysis and solutions using or enhancing existing methodologies, frameworks, and architectures
Design criteria and methods for evaluating the performance of text understanding on test and real clinical data
Research and recommend tools, algorithms, and solutions in line with our quality of care improvement strategy
Collaborate with our internal and external teams and clinical partners and all internal and external teams to implement our clinical research roadmap
Contribute to the enhancement and extension of all our data analytics pipelines and environment
Collaborate with data science team members and other colleagues on research activities
Help to shape Covera Health’s language understanding and broader data analytics strategy by identifying new opportunities

Requirements
PhD or MS in computer science or related discipline with work experience as a Research Scientist in Machine Learning and Natural Language Programming
Strong deep learning background and familiarity with state-of-the-art NLP techniques (BERT, XLM, XLNet)
Applied programming experience in Python, C, and/or C++
Experience with libraries and tools like Tensor Flow, PyTorch, Theano, Keras, and CUDA
Contribution to research communities and/or journals, including NIPS, ICML, ACL, CVPR, etc.
Excellent ability to work well as an individual contributor as well as within a multidisciplinary team environment
Strong communicator with excellent interpersonal skills and can-do attitude to work and thrive in a fast paced team environment

Benefits
You will be a full-time employee with competitive salary, stock options, and great benefits. These benefits include medical, dental, and vision insurance, FSA, pre-tax commuter benefits, flexible paid time off, and a comfortable office space filled with a variety of quality snacks and beverages. Most importantly, you’ll get to know each of us and we love to work together to find solutions. We are a smart, fun, focused, and unique team of people who are truly passionate about changing healthcare for the better!"
Text Mining,"Newark, NJ",New Jersey Institute of Technology,$12 an hour,"Using machine learning models (BERT, ROBERTA, XLNET, GNN) to build a topic specific QA system. Your role in the team will be data preprocessing, running experiments, fine tuning the model, etc. Requirements: Know at least one programming languages(Python, JAVA, C, R). Python is prefered. Linux command line. Experience in unstructured text data is highly appreciated.
Using machine learning models (BERT, ROBERTA, XLNET, GNN) to build a topic specific QA system. Your role in the team will be data preprocessing, running experiments, fine tuning the model, etc. Requirements: Know at least one programming languages(Python, JAVA, C, R). Python is prefered. Linux command line. Experience in unstructured text data is highly appreciated.
Please allow at least 24 hours for your application and eligibility to be processed. Thank you for your interest in student employment at NJIT!"
IBS Intelligent Automation Lead – Americas,"East Hanover, NJ 07936",Mondelēz International,None,"Mondelēz International, Inc. empowers people to snack right in over 150 countries around the world. We're leading the future of snacking with iconic brands such as Oreo, belVita and LU biscuits; Cadbury Dairy Milk, Milka and Toblerone chocolate; Sour Patch Kids candy and Trident gum. Our 80,000 colleagues around the world are key to the success of our business. Great people and great brands. That's who we are.
Join us on our mission to continue leading the future of snacking around the world by offering the right snack, for the right moment, made the right way. It's time for you to Make It with Mondelēz International.
Information Systems
In Information Systems, you'll connect and empower every aspect of our global organization through excellence in technology and services. This includes investing in growth-enabling solutions as well as systems that integrate our supply chain from procurement to manufacturing, and customer service to logistics. You'll help Mondelēz International implement the right business capabilities, powered by better information.
At Mondelez Intelligent Automation Team is responsible for automating routine tasks by leveraging tools such as UiPath, Automation Anywhere, Blue Prism etc and leveraging our partner ecosystem, ultimately enable business teams to focus on higher value-added tasks. With this foundation, our next focus is turning IA into a growth enabler and automating end-to-end processes. The IA lead will be core of this transformation, responsible to process areas covering a $10B revenue.
Purpose of Role
The principle purpose of the role is the overall accountability for all aspects of Intelligent Automation (AI, ML, RPA, NLP, chatbots) excluding MBS business process automation contracts. This role will be accountable for IBS IA to provide end to end strategies, processes, systems and services to enable growth, synergies and compliance for all our businesses, from ideation to run of test & learns. The position will work together with the global digital organization, architecture, security and IA delivery organization.
Main Responsibilities
Works closely with Experience Towers, external/internal partners and BU /functions to ensure future strategic IA needs of the business are being met.
Be the single point of contact for business and towers for IA, responsible in expanding beyond todays' scope (both in breath & depth, and NeXTGen IA), keeping a healthy pipeline of scale and test & learns
Develop customer 'intimacy' by deeply understanding the requirements of Experience Towers, BU's and functions and proactively seek to provide IA solutions, leveraging Mondelez International scale and know how where possible.
Translate the business strategic initiatives, led by Experience Towers, into tangible IA action plans.
Take the IA program to new level, exploiting the true potential of IA (such as AI, ML etc)
Understands the marketplace for technical solutions in IA space, and bring outside in beyond solutions offered by incumbent vendors.
Maintain oversight across IA delivery end to end including project delivery and operations
Accountable for the successful implementation of IA test & learns within time, quality and budget with minimal Business disruption, ensuring change management and User adoption
Own conceptual change management for scaling IA in new areas of exploration
Be responsible for Communication/Escalation for the IA program
Leverage the broader innovation, delivery and support organization as needed
10-15 years management / project management experience in IT or business functions in the consumer goods industry.
Sound understanding of process re-engineering; Understand the connection of the process, data and solutions
Experience in working across functions with ability to interact and influence at executive levels and credible with executive leadership
Preferable to have a deep understanding of one of business pillars (such as Sales, Marketing, Supply Chain)
High influencing skills and excellent communications skills with the ability to translate between non-technical business users and technical IT resources.
Very good awareness of digital technologies with a deep understanding of Intelligent Automation space.
Ability to influence others based on knowledge, experience, or key relationships. Effectively manages conflict and negotiates with others for alignment to maximize business outcomes
Change Management experience
Multicultural expertise
Mondelēz Global LLC is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected Veteran status, sexual orientation, gender identity, gender expression, genetic information, or any other characteristic protected by law. Applicants who require accommodation to participate in the job application process may contact 847-943-5460 for assistance.
Applicants must complete all required steps in the application process, including providing a Resume/CV, in order to be considered for this position."
