Title,Location,Company,Salary,Description
"Big Data Developer (Azure)- Deloitte (Remote, Contract)","New York, NY",Experfy,$85 - $125 an hour,"Experfy, a Harvard-incubated on-demand talent platform is working with Deloitte to build an innovative Future of Work model in which elite consultants work remotely on short-term and long-term projects. Top experts who are selected to become part of Deloitte TalentCloud receives preferred access to contract opportunities that are focused on cutting-edge emerging technologies. We invite candidates to apply to become part of this prestigious community and take advantage of virtual work arrangements.
Roles & Responsibilities:
Big Data and Cloud Architecture
Design big data batch processing and interactive solutions
Design big data real-time processing solutions
Expertise in Azure technology stack
Operationalize end-to-end cloud analytics solutions
Technical Qualifications:
4+ years of hands-on experience with Cloud using Microsoft Azure
4+ years of relevant technology architecture consulting or industry experience to include experience in Information delivery, Analytics and Business Intelligence based on data from SQL and different features of SQL; SQL DW, SQL DB, PolyBase, U-SQL, etc.
At least 3+ years of hands-on working experience with Microsoft Azure technologies; Azure ADF, Event Hub, Nifi, HDInsight, Blob Storage, Redis Cache, etc.
2+ years experience with Snowflake cloud DW
2+ years of hands-on experience with data lake implementations, core modernization, and data ingestion
Bachelor’s Degree or equivalent professional experience
Hadoop Certification or Spark Certification
Experience with Cloud using Microsoft Azure
Experience designing and implementing reporting and visualization for unstructured and structured data sets
Preferred Qualifications:
Experience in designing and implementing scalable, distributed systems leveraging cloud computing technologies like Microsoft Azure
Experience designing and developing data cleansing routines utilizing typical data quality functions involving standardization, transformation, rationalization, linking and matching
Knowledge of data, master data, and metadata related standards, processes and technology
Experience working with multi-Terabyte data sets
Job Type: Contract
Pay: $85.00 - $125.00 per hour
Experience:
HD Insight: 3 years (Required)
Cloudera: 3 years (Required)
SQL DW, SWL DB, U-SQL, Poly Base: 3 years (Required)
Blob Storage: 3 years (Required)
Event Hub: 3 years (Required)
Nifi: 3 years (Required)
MapR: 3 years (Required)
Hortonworks: 3 years (Required)
Azure ADF: 3 years (Required)
Snowflake Cloud DW: 3 years (Required)
License:
Designing and Implementing Big Data Analytics Solutions (Preferred)
Hadoop (Preferred)
Implementing an Azure Data Solution (Preferred)
Application Question:
Are you an independent contractor? / Do you have your own business service?
Work Location:
Fully Remote
Benefits:
None
Work Remotely:
Yes"
SQL Business Intelligence Developer/Analyst,"New York, NY 10081 (Financial District area)",Local Initiatives Support Corporation,None,"THE ORGANIZATION:
What We Do
With residents and partners, LISC forges resilient and inclusive communities of opportunity across America – great places to live, work, visit, do business and raise families.
Strategies We Pursue
Equip talent in underinvested communities with the skills and credentials to compete successfully for quality income and wealth opportunities.
Invest in businesses, housing and other community infrastructure to catalyze economic, health, safety and educational mobility for individuals and communities.
Strengthen existing alliances while building new collaborations to increase our impact on the progress of people and places.
Develop leadership and the capacity of partners to advance our work together
Drive local, regional, and national policy and system changes that foster broadly shared prosperity and well-being.
Over the last 40 years, LISC and its affiliates have invested approximately $20 billion in businesses, affordable housing, health, educational mobility, community and recreational facilities, public safety, employment and other projects that help to revitalize and stabilize underinvested communities. Headquartered in New York City, LISC’s reach spans the country from East coast to West coast in 36 markets with offices extending from Buffalo to San Francisco. Visit us at www.lisc.org
ABOUT THE DEPARTMENT:
The Information Technology (IT) Department manages and maintains all technology systems for ~450 staff dispersed across 35 offices.
ABOUT THE POSITION:
The SQL Business Intelligence Developer/Analyst will report to the Lead Developer & Architect and play an integral role in the Application Development team, located at the NYC headquarters.
This position will be responsible for data collection, transformation and data management using best practices established. The position will work closely with other business units to gather requirements, formulate request documents, implement and deliver business intelligence and reporting solutions in collaboration with their supervisor. In addition, the role will be required to fulfill ongoing ad-hoc request demands.
IT is currently working on a data centralization project that will replace two legacy applications and move their functionality to Salesforce, which is currently being used for fundraising and CRM. One key component of this project is the development of a centralized data repository to allow for flexible reporting across all applications.
LISC offers the opportunity to put your experience in programming, design and development of data warehouse (DW) models, ETL transformations, and Business Intelligence reporting to help transform LISC’s ability to manage and effectively report on data across the enterprise.
RESPONSIBILITIES:
The position will be responsible for providing enterprise-wide business intelligence and MDM expertise with emphasis on data design, access, usage, security and quality of information assets.
The SQL Business Intelligence Programmer Analyst will work collaboratively with members of the Application Development team and business management to design and develop reporting systems and structures to support critical processes and systems, which currently involves NetSuite, Salesforce and Adaptive, as well as other applications across the enterprise. This position will develop detailed specifications (requirements) and BI artifacts that provide accessible information for decision-making.
With minimum supervision, the SQL Business Intelligence Programmer Analyst will also facilitate use of data to solve organizational problems through development of reports, stored procedures, and SQL objects supporting analysis and data visualization.
Responsibilities
Define and implement database solutions to manage how data will be stored, consumed, integrated and managed across the enterprise by different business applications and users.
Work with business and IT teams to manage data integration between applications and develop and maintain mappings/rules between business applications and business data and interfaces.
Map configurations and complex data architectures, ensuring documentation meets current and forecasted needs.
Design and develop complex data models, queries and reports.
Provide information about the data definitions, schemas and lineage
Collaborate on adhering to data security policies & best practices.
Serve as the liaison between the department leaders and application developers.
Collaborate and work with end users to ensure that data and reports meet their business needs
Work with IT and other business units on the roll out of Domo, LISC’s BI tool for delivering consolidated reporting solutions.
Organize and conduct Domo and other trainings as needed.
Work with business management and other stakeholders to gather, understand and document business processes and project requirements, and to translate them into business application and Domo-based solutions.
Prepare professional technical documentation.
Think analytically, utilize creative thinking skills, as well as problem solving, and design skills.
Keep abreast of technology trends and best practices in data management and governance in order to propose improvements and technology advancements
QUALIFICATIONS:
Bachelor’s degree from an accredited college or university in Computer Science, Information Technology or related field.
Minimum 5 years of experience in IT with data warehousing or business intelligence applications.
Minimum 3 years of experience with Domo, Tableau or other data visualization tools.
Extensive knowledge of Master Data Management (MDM) systems.
Experience in Data Modeling, Data Architecture and Data Governance
Strong experience with TSQL, SSIS and SSRS (4+ years)
Familiarity with DOMO Workbench preferred.
Excellent knowledge & skills in data analysis, data modeling, data profile and data management of structured and unstructured data.
Experience in database design, from conceptualization to database optimization.
Proven ability to work collaboratively and communicate complex ideas to all audiences.
Exceptional problem solving techniques.
Strong attention to detail.
Maintain a flexible work schedule in order to respond to the department’s needs or emergencies as they arise.
Excellent communication and customer service skills.
Problem solve analytically and creatively
Exceptional design skills.
Compensation
LISC offers a competitive salary and excellent benefits.
To apply, please send cover letter and resume via email
LISC IS AN EQUAL OPPORTUNITY EMPLOYER
COMMITTED TO DIVERSITY AND INCLUSION
Job Type: Full-time
Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Employee Assistance Program
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Parental Leave
Retirement Plan
Tuition Reimbursement
Vision Insurance
Experience:
TSQL, SSIS, SSRS: 5 years (Required)
IT with data warehouseing or business applications: 5 years (Required)
Data Modeling, Data Architecture and Data Governance: 5 years (Required)
Master Data Management systems: 5 years (Required)
Domo , Tableau: 3 years (Required)
Education:
Bachelor's (Required)
Location:
New York, NY (Required)
Work authorization:
United States (Required)
Work Location:
One location
Schedule:
Monday to Friday
Company's website:
www.lisc.org
Benefit Conditions:
Waiting period may apply
Work Remotely:
Temporarily due to COVID-19"
"Data Engineer, Digital and Computational Pathology","New York, NY 10017 (Midtown area)",Memorial Sloan-Kettering Cancer Center,None,"Company Overview:
At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes.

For the 28th year, MSK has been named a top hospital for cancer by U.S. News & World Report. We are proud to be on Becker’s Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor’s Employees’ Choice Best Place to Work for 2018. We’re treating cancer, one patient at a time. Join us and make a difference every day.
Job Description:
Are you passionate about collaborating with a team of clinicians and scientists at Memorial Sloan Kettering Cancer Center?

Then join us here at MSK, where we can provide you with the opportunity to make a difference with your career. We believe that this is an exciting role for someone who has the right background to be a part of our dynamic team and who wants to apply their skills to support our mission here.

We are looking for a Data Engineer to develop and support software applications, tools and data management pipelines for research and clinical purposes within the field of Digital and Computational Pathology. You will assist in the design, implementation and maintenance of tools that extract and manipulate data from various sources, including in-house and external databases, for use in the research and development of Computational Pathology tools and algorithms.
You Are
A problem solver with the ability to think outside of the box, to find novel solutions to obstacles and setbacks.
A teammate with the ability to work well both independently and within a diverse team.
Hard working and passionate, believing strongly in our mission statement and goals.
Detail and deadline oriented, with the ability to proofread, thoroughly test, and submit high quality work on time.
An effective communicator with strong interpersonal skills.
Willing to learn new skills and adaptable to fluctuating workloads and deadlines.
You Will
Create software and data pipelines that enable the ingestion, transformation and transfer of large quantities of structured and unstructured clinical data from various databases and filesystems sources, that are destined for the development of computation pathology applications and algorithms.
Build database logic to automatically fetch and store data in various forms.
Be responsible for server, application, and database development and the building and testing of high-performance, complex systems.
Produce required functional, technical, and user documentation (e.g., business requirements, functional and technical specifications, system architecture, data flows, end-users training requirements) on assigned projects.
Work and collaborate with scientists, engineers, IT operations and medical doctors to build tools manipulating data in order to build a new generation of artificial intelligence applications for cancer detection and treatment.
Learn the Pathology Department’s laboratory and diagnostic procedures as they pertain to the generation and flow of data in Digital and Computational Pathology.
Provide consultation and guidance to scientists, engineers, as well as other bioinformatics engineers and medical doctors, at the Center and partnering institutions.
Maintain and improve professional growth and development through participation in scientific and technical discussions, workshops, and seminars to keep current in the development of industry-grade software.
You Need
Bachelor’s degree in Computer Science, Information Systems, Biomedical Engineering or related field
4+ years of industry experience as a Data Engineer
Extensive experience in Python programming, or related language.
Extensive experience in the development of SQL database schema and query logic.
Experience with data warehouse architecture for large quantities of structured and unstructured data.
Experience with the design, detailed testing, and documentation of complex systems.
Experience with version control standard methodologies.
Bonus
Experience with modern DevOps practices & technologies (e.g. Docker, Jenkins)
Experience with design and architecture of Data Lakes
Experience with design and architecture of NoSQL databases (e.g. Redis, MongoDB).
Experience with image processing software and techniques (e.g. OpenCV) and familiarity with image file formats
#LI-POST
Closing:
MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.
Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment."
Mid-Sr. Data Engineer,"New York, NY 10017 (Midtown area)",Memorial Sloan-Kettering Cancer Center,None,"Company Overview:
At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes.

For the 30th year, MSK has been named a top hospital for cancer by U.S. News & World Report. We are proud to be on Becker’s Healthcare list as one of the 150 Great Places to Work in Healthcare in 2019, as well as one of Glassdoor’s Employees’ Choice Best Place to Work for 2019. We’re treating cancer, one patient at a time. Join us and make a difference every day.
Job Description:
As part of MSK's new and exciting digital transformation, we are hiring enthusiastic data engineers to build and deliver a one-of-a-kind data facility. You'll have the chance to work with clinicians and researchers to achieve the goal of translating institutional information into meaningful insights in order to improve patient care, hospital operations, and clinical research.

About us - Enterprise Data Group:
We develop and maintain one of the most robust oncology data ecosystems in all of healthcare. The integration of clinical, genomic, operational, and financial datasets has led to countless insights, but we are just beginning to capture the full value of our unstructured, streaming, and imaging data, by way of creating a unique and unprecedented healthcare data platform.
This data platform will be a combination of cloud and on-prem technologies and will be built on state-of-the-art architecture that includes APIs, object stores, data streaming, image processing, DBMS pipelines and data warehousing technologies.
What you'll be doing:
Participating in full SAFe development life cycle i.e. performing analysis, designing, building, releasing, and maintaining data pipelines for ingestion and propagation of imaging, genomic, and clinical data
Working collaboratively on an agile product team with architects, engineers, scrum masters, product owners, and business owners
Developing APIs and data pipelines to build UDF
Crafting efficient and reusable modularized components that drive complex applications
Mentoring and providing guidance to junior colleagues and new team members
Our ideal candidate is:
A senior-level data engineer with experience developing software and data infrastructure, eager to learn new technologies and communicate ideas
Passionate about data and creating new solutions to empower cancer care and research
Strong knowledge of programming languages, ETL tools and their administration, and exposure to relational/non-relational databases
Bonus: familiar with Cloud providers and Knowledge agile methodologies i.e. SAFe a strong plus
Bachelor’s Degree in Computer Science, related technical field or equivalent
#LI-POST
Closing:
MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.
Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment."
Cloud Security Specialist,"Roseland, NJ",Prudential,None,"Cloud Security Specialist-GLO000O1
Description
Global Technology is looking for a Cloud Security Specialist to assists senior staff in the development and maintenance of a business and system architecture for firm wide operations. Participates in system architecture studies of new and existing data processing systems to permit development of integrated corporate distributed and client server business systems which operate at low cost levels. Assists in the analysis and recommendation of new or different technologies which will enhance current systems and support overall corporate and business goals. Performs related duties as assigned or requested.

Cloud Security position (Aws and Azure) for analyzing and developing preventive, detective and responsive controls. This includes but is not limited to coding, refining and implementing a set of controls to oversee an Identity Access Management (IAM), Key Management (KMS, Key Vault) and Security Group analysis & review framework across cloud environments.

The candidates will apply their experience by implementing reliable, scalable, secure data driven solutions based upon process automation and management of the access life cycle for cloud services. Establishing and maintaining ad hoc configuration checks, may include role management based on deriving separation of duties and least privilege access principles for entitlements across all cloud services.

Performing analysis and implementing cloud application architecture and secure technical design review outcomes, including developing certification of meeting compliance guidelines and standards.

Partner with Engineering, Architecture and Operations groups to collaborate and troubleshoot issues.

Qualifications

Soft skills:
A history of embracing and incubating emerging technology and open source products
Technical Leadership: the ability to inspire your teammates to deliver quality software solutions
Innovative thinking with a passion for problem-solving
Ability to provide a logical framework to support conclusions and ideas.
Intellectual curiosity
Great attitude, team player and energy amplifier. Flexible and adaptable to changing priorities and technologies
Strong analytical and problem-solving skills
Ability to work independently in a fast paced, unstructured environment
Strong verbal and written communication skills
Strong personal motivation and ability to work well independently
Technology Skills:
Strong scripting skills (Python, PowerShell, JavaScript, Bash) and Splunk SPL experience, or web development experience (HTML5) highly preferred
Hands-on experience with either AWS or Azure including but not limited to core IaaS (CloudFormation, IAM, EC2/EBS, S3, ALB/ELB, Templates, AAD, VM, Storage Account, Security Groups, Service Roles ) and native Services (Lambda, AWS Config, EMR, Athena, Azure Functions, ASE, Managed SQL, Batch, Key Vault, ACM, Secrets Manager)
Basic knowledge of virtualization software, web technology, and IaaS cloud service providers (AWS, Azure, GCP)
Microservice or container coding and development life cycle tool experience (i.e. Lambda/Functions, Docker/Kubernetes and CodePipeline/DevOps)
Basic Qualifications:
Bachelor's Degree in Computer Science, Information Security or related technology field or equivalent experience.
At least 2 years implementing Cloud design and development, in a security control minded enterprise cloud environment
AWS, Azure, CCSP or related certifications are a plus.

Prudential is a multinational financial services leader with operations in the United States Asia Europe and Latin America. Leveraging its heritage of life insurance and asset management expertise Prudential is focused on helping individual and institutional customers grow and protect their wealth. The company’s well-known Rock symbol is an icon of strength stability expertise and innovation that has stood the test of time. Prudential's businesses offer a variety of products and services including life insurance annuities retirement-related services mutual funds asset management and real estate services. For more information please visit www.prudential.com.

Prudential is not accepting unsolicited resumes from search firms for this open position unless contracted with Staffing. Agencies must work with Staffing as the primary point of contact and follow the Prudential application process to be considered for business. All resumes submitted by search firms to any employee at Prudential via-email Internet or directly to hiring managers in any form without a valid written search agreement in place for that position will be deemed the sole property of Prudential and no fee will be paid in the event the candidate is hired by Prudential.
Note: Any search agreement entered into with Prudential before January 2004 is null and void. Search firms are essential to the recruitment and staffing efforts at Prudential and we value the partnerships we have built with our preferred vendors. Prudential has established and regularly maintains a preferred vendor list and even preferred vendors need to have a written search agreement signed by the Director Recruiting Programs Staffing at Prudential in place for the specific position in order for a fee to be paid for any candidate referrals.
Job Function Information Security
Primary Location United States-New Jersey-Roseland
Schedule Full-time
Travel No"
Data Scientist,"New York, NY 10014 (SoHo area)",Dolphin,None,"--------
Important: The hiring process for this role is managed by Dolphin, a job-matching platform for high-impact jobs tackling the biggest challenges facing society ( climate change, poverty, healthcare, infectious diseases, space exploration and more). Find 100K+ open jobs at withdolphin.com.
--------
Our client is a fast growing machine learning company that analyzes clinical healthcare data to generate actionable insights that improve the lives of over fifty million patients a year in the U.S. and Europe.
They are seeking an experienced and creative Data Scientist with software development experience to join their New York team. This role will play a pivotal part in the research and development of new and existing features on our client's healthcare platform.
How You’ll Contribute
Write clean, high-quality code and tests to build high performance software applications
Work with Data Engineering team to roll out new data analysis capabilities for data-driven healthcare applications
Contribute to technical discussions to gather requirements and develop product features or solutions while following standard methodologies
Research and document proposed solutions
Collaborate with management and other teams across the organisation
Work with Product and Design counterparts to bring features from conception to launch
Participate in microservices API design and development
Help triage bugs, track software defects, and ensure their timely resolution
Define and steward technical standards and quality with fellow Engineers
Conduct peer code reviews
What We’re Looking for
Over four years of experience in back-end or database development with strong computer science fundamentals (or equivalent amount of projects)
Strong understanding and experience using PyTorch, Tensorflow, Python, Flask, SQL (strong familiarity with at least one popular dialect, eg MySQL or PostgreSQL), MongoDB, and other related frameworks and technologies
Experience with data-intensive development with exposure to handling structured & unstructured data
Understand the user, their behaviour, expectations and contribute to make their experience better with each release
Experience building RESTful interfaces that support scalable microservice architecture
A problem solver with exceptional analytical skills & high attention to detail
Intermediate/Upper-Intermediate verbal and written technical English
Bonus Points If You Have
Building cloud-based machine learning pipelines
Experience with Elasticsearch, Kafka, Spark, GraphQL
Workings of Database, Queues, Cache, servers
--------
Important: The hiring process for this role is managed by Dolphin, a job-matching platform for high-impact jobs tackling the biggest challenges facing society ( climate change, poverty, healthcare, infectious diseases, space exploration and more). Find 100K+ open jobs at withdolphin.com.
--------
Job Type: Full-time
Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Health Insurance
Life Insurance
Paid Time Off
Professional Development Assistance
Relocation Assistance
Vision Insurance
Experience:
backend/database: 4 years (Preferred)
Work authorization:
United States (Preferred)
Application Question:
Why are you interested in a career in healthcare?
Additional Compensation:
Bonuses
Schedule:
Monday to Friday
Company's website:
https://www.splashwithdolphin.com/
Work Remotely:
Temporarily due to COVID-19"
Alternative Data Research Analyst,"New York, NY 10020 (Midtown area)",Yewno,None,"About us
Yewno is an emerging high-tech company based in Silicon Valley, focused on
an innovative platform that provides insights and answers to the complexity
of ever-growing information. We are an accomplished team of alums from top
universities and industry leaders, and our managers have track records of
billion-dollar exits.
The company has successfully launched a portfolio of products and services,
including an intelligent framework based on a stack of Artificial Intelligence
algorithms that digest a multitude of data sources, both structured and
unstructured, and extract financial, economic, political and social indicators,
alongside the semantic explanatory rationale describing any given event.
Such a portfolio of services gives influential decision makers, researchers and
analysts a critical edge by connecting them to a dynamic network of
information. Yewno has a range of customers in the education sector
including some of the top research institutions across the US, UK and Europe.
We offer a fun working environment with sharp, motivated colleagues, and

great benefits:
Competitive salary and stock options
Medical, Dental, and Vision
Company-covered life insurance
401(k) Plan
15 days vacation
Core Responsibilities
Perform research and identify unique alternative datasets relevant to financial services applications;
Perform data validation further assessing validity, novelty and quality of the
dataset;
Design and implement use cases for alternative datasets.
Qualifications
Attitude to thrive in a fast-paced start-up environment;
Degree in quantitative discipline such as finance, math, statistics,
engineering, economics, computer science, or hard sciences;
Demonstrated experience in researching and developing data-driven
products;
Solid programming skills in programming languages such as R and Python;
Excellent written and verbal communication skills. Must be able to explain
complex and/or technical matters clearly, accurately, and simply.
While financial industry experience is a plus, we are open-minded in our
search for critical thinkers who are passionate about technology and data.
If you are interested in applying, please send your resume to hr@yewno.com"
Data Engineer,"New York, NY",Alldus,"$150,000 - $170,000 a year","Data Engineer
NYC
Industry: Media
Comp Range: 150k -170k

The Company
We serve creative, business and media customers in over 200 countries, we are the first place people turn to discover, purchase and share moving content from the world's best artists and creatives.

The Role
You will be instrumental in the development and deployment of full-stack Machine Learning pipelines. You will develop and ship code in our production environment, and will be empowered to implement a variety of data-centric architectures that are vital to our critical operational initiatives.

The Culture
A team of highly-collaborative and curious Data Scientists and Data Analysts that are comfortable working with a diverse set of tools, and willing to take initiative on their ideas. We value teamwork, openness and creativity.

What You’ll Do:
Define the architecture that serves as the foundation for company projects as well as accelerate the delivery of our Data Science models.
Develop and move code in our production environment, be empowered to implement various data-centric architectures that support vital operational initiatives.
Help build a production-level ecosystem that aligns with business function needs and maintain capability in handling large-scale structured and unstructured data.
Lead and innovate as a thought-leader within the organization. You will have the ability to sit at the intersection of Data,, Marketing and Leadership.

What You'll Need
3+ years experience working as a Data Engineer, preferably in a product or customer-focused organization.
3+ years using Python, knowledge of Cloud services and Tools, as well as standard engineering tools such as Linux and SQL.
Experience building batch data pipelines and are comfortable working within a large-scale distributed environment with open source tools such as Hadoop, Spark and Airflow.
You can independently deliver on a project, from its inception to delivery to our stakeholders, and can pro-actively interact with other engineers.


Nice To Have

M.S. or Ph.D. in computer science, statistics, economics/econometrics, or any other equivalent quantitative project is preferred.
Experience contributing to the use of BI platforms."
Data Scientist,"New York, NY 10017 (Midtown area)",NIVELO TECH INC,None,"About NIVELO
NIVELO is an early stage startup based in New York City building the security layer for digital payments.
NIVELO helps companies protect consumers by validating payments against fraud, cyber-threats, and other failure scenarios. Our team is passionate about using technology to amplify humanhood and bring fairness, balance and access to our financial systems.
Opportunity
Opportunity to become a valued individual contributor in NIVELO's data science team, building and deploying across the entire process of data extraction, transformation, loading exploration, modeling, testing and deployment.
Overview
On any given day you may be:
Contributing to a highly-scalable, reliable, and low-latency infrastructure
Developing core algorithms to predict payment failure risk with human-interpretable results
Applying privacy preserving logic to a global data model to protect client privacy
Conceptualizing ""human-in-the-Loop"" machine learning workflows to optimize predictiveness
Integrating into an API service architecture capable of handling millions of events per day
Learning about real time payments and the automated clearing house processing system
Documenting model method and results for internal and external stakeholder consumption
Working with various data partners to understand structured and unstructured data logic
Culture
To excel at NIVELO you should:
Be excited by the prospect of working with a diverse team
Be metrics driven: every aspect of your work should be measurable for growth
Be adaptive: this is an early stage company and while our True North remains constant, we will be challenged by ambiguity along the way. You should not be paralyzed by the unknown.
Be open to educating a curious audience on difficult concepts
Be a good listener, learning from partner pain points with resourceful curiosity.
If you are motivated by our mission, we'd love to hear from you.
ZJBmRwegG8"
SDR,"New York, NY",SpaceQuant,"$40,000 - $60,000 a year","SpaceQuant is the industry-leading platform for ultra-fast commercial real estate property performance analysis and valuation for lenders and real estate investors.
SpaceQuant uses its proprietary AI technology to analyze unstructured and semi-structured data in property financial documents. Additionally, its data platform aggregates hundreds of data-points on every real estate property in the USA. By combining all this data and automation, SpaceQuant delivers ultra-fast property performance analysis and valuation.
Our software is used by leading insurance companies, banks and hedge funds.
TEAM
Our team shares a passion for data and smart solutions solving hard problems. You will be one of the early employees of a fast growing startup.
As an early employee you will have a big impact on how to design the company's workflows and processes. We are dynamic, flexible and open to new ideas.
OPPORTUNITY
We are a fintech startup looking for excited, high performing sellers with people skills, ambition, and the flexibility to work at a fast-paced fin-tech startup.
This is a great opportunity to work closely with the founder and executive team and be able to learn the operations of an ambitious startup. We want to invest in you and your future with many ways for top performers to earn raises and bonuses. We want you to grow your career with us.
You will be responsible for generating new business and communicating the value of our solution to financial institutions of all types and sizes: insurance companies, banks, hedge funds, asset managers, real estate investors. This is an incredible opportunity to build upon your sales skills in the red-hot fin-tech space.
RESPONSIBILITIES
Use a variety of lead generation tools, phone, email, LinkedIn and connections to market the company’s products and services
Uniquely articulate SpaceQuant's value proposition to decision makers to assess buying interest and best qualify and break into key target customers
Have autonomy to execute creative marketing campaigns, messaging, collateral and promotions to help us build our outbound sales strategy
Hunt for new leads, identify key players within accounts, and develop account planning material
Conduct high-level conversations with accounts from champion to decision makers, to senior level executives and C-Level
REQUIREMENTS
An individual with high-energy and focus to achieve top results and win new customers
Ability to understand financial concepts and relay the value of our industry-leading solution to a new customer
Passion about enterprise SaaS, finance and real estate
Pro-active and goal oriented with the ability to thrive in a fast-paced environment and the motivation to develop your career
Willing to put in the work with cold calls, emails, campaigns, events etc to source potential customers
Exceptional interpersonal skills – can communicate fluidly both externally and internally with founders, engineers, product managers, etc
Tremendous follow through
An entrepreneurial and persuasive spirit
Unafraid of rejection
Previous sales experience (within software/financial technology company)
BA/BS or equivalent preferred
Job Type: Full-time
Pay: $40,000.00 - $60,000.00 per year
Experience:
outbound sales: 3 years (Required)
Work authorization:
United States (Required)
Work Remotely:
Yes"
